species,type,english_name
Euphrasia rotundifolia,Angiosperm,Eyebright_Round-leaved
Euphrasia scottica,Angiosperm,Eyebright_Scots
Euphrasia arctica,Angiosperm,Eyebright_sp_ arctica
Euphrasia confusa,Angiosperm,Eyebright_sp_ confusa
Euphrasia frigida,Angiosperm,Eyebright_sp_ frigida
Euphrasia micrantha,Angiosperm,Eyebright_sp_ micrantha
Euphrasia nemorosa,Angiosperm,Eyebright_sp_ nemorosa
Euphrasia ostenfeldii,Angiosperm,Eyebright_sp_ ostenfeldii
Euphrasia rostkoviana,Angiosperm,Eyebright_sp_ rostkoviana
Euphrasia tetraquetra,Angiosperm,Eyebright_sp_ tetraquetra
Euphrasia,Angiosperm,Eyebrights
Turdus obscurus,Bird,Eyebrowed Thrush
Nanogona polydesmoides,Millipede,Eyed Flat-backed Millipede
Anatis ocellata,Ladybird,Eyed ladybird
Facelina auriculata,Sea slug,Facelina auriculata
Linum catharticum,Angiosperm,Fairy Flax
Erinus alpinus,Angiosperm,Fairy Foxglove
Marasmius oreades,Fungus,Fairy ring champignon
Mareca falcata,Bird,Falcated Duck
Dama dama,Mammal,Fallow deer
Brachypodium sylvaticum,Angiosperm,False Brome
Hygrophoropsis aurantiaca,Fungus,False Chanterelle
Galium spurium,Angiosperm,False cleavers
Carex otrubae,Angiosperm,False Fox-sedge
Mastocarpus stellatus,Alga (marine),False Irish Moss
Pseudorca crassidens,Mammal,False Killer whale
Saxifraga spathularis x hirsuta = S. x polita,Angiosperm,False Londonpride
Arrhenatherum elatius,Angiosperm,False Oat-grass
Primula veris x vulgaris = P. x polyantha,Angiosperm,False Oxlip
Lindernia dubia,Angiosperm,False pimpernel
Kobresia simpliciuscula,Angiosperm,False Sedge
Sorbaria sorbifolia,Angiosperm,False spirea
Herminia tarsipennalis,Moth,Fan-foot
Ranunculus circinatus,Angiosperm,Fan-leaved Water-crowfoot
Fannia fuscula,Fly,Fannia fuscula
Fannia genualis,Fly,Fannia genualis
Fannia lustrator,Fly,Fannia lustrator
Fannia parva,Fly,Fannia parva
Fannia postica,Fly,Fannia postica
Fannia scalaris,Fly,Fannia scalaris
Lemna gibba,Angiosperm,Fat Duckweed
Pimephales promelas,Fish,Fathead minnow
Chenopodium album,Angiosperm,Fat-hen
Colotois pennaria,Moth,Feathered Thorn
Galium uliginosum,Angiosperm,Fen Bedstraw
Potamogeton coloratus,Angiosperm,Fen Pondweed
Foeniculum vulgare,Angiosperm,Fennel
Potamogeton pectinatus,Angiosperm,Fennel Pondweed
Felis catus,Mammal,Feral Cat
Catapodium rigidum,Angiosperm,Fern-grass
Cratoneuron filicinum,Moss,Fern-leaved Hook-moss
Mustela furo,Mammal,Ferret
Aythya nyroca,Bird,Ferruginous Duck
Festuca ovina subsp. ovina,Grass,Festuca ovina subsp. ovina
Tanacetum parthenium,Angiosperm,Feverfew
Allium paradoxum,Angiosperm,Few-flowered Garlic
Carex pauciflora,Angiosperm,Few-flowered Sedge
Eleocharis quinqueflora,Angiosperm,Few-flowered Spike-rush
Carex appropinquata,Angiosperm,Fibrous Tussock-sedge
Convolvulus arvensis,Angiosperm,Field Bindweed
Lepista saeva,Fungus,Field blewit
Bromus arvensis,Angiosperm,Field Brome
Bombus campestris,Bumblebee,Field Cuckoo-bee
Mellinus arvensis,Solitary bee,Field Digger Wasp
Myosotis arvensis,Angiosperm,Field Forget-me-not
Allium oleraceum,Angiosperm,Field Garlic
Gentianella campestris,Angiosperm,Field Gentian
Equisetum arvense,Horsetail,Field Horsetail
Sherardia arvensis,Angiosperm,Field Madder
Acer campestre,Tree,Field Maple
Cerastium arvense,Angiosperm,Field Mouse-ear
Agaricus campestris,Fungus,Field Mushroom
Viola arvensis,Angiosperm,Field Pansy
Thlaspi arvense,Angiosperm,Field Penny-cress
Lepidium campestre,Angiosperm,Field Pepperwort
Knautia arvensis,Angiosperm,Field Scabious
Microtus agrestis,Moth,Field Vole
Luzula campestris,Angiosperm,Field Wood-rush
Stachys arvensis,Angiosperm,Field Woundwort
Turdus pilaris,Bird,Fieldfare
Spinachia spinachia,Fish,Fifteen-spined Stickleback
Tethea ocularis,Moth,Figure of Eighty
Balaenoptera physalus,Mammal,Fin whale
Fumaria parviflora,Angiosperm,Fine-leaved Fumitory
Festuca filiformis,Angiosperm,Fine-leaved Sheeps-fescue
Oenanthe aquatica,Angiosperm,Fine-leaved Water-dropwort
Huperzia selago,Clubmoss,Fir Clubmoss
Regulus ignicapilla,Bird,Firecrest
Houttuynia cordata,Angiosperm,Fish-plant
Fissidens bryoides var. bryoides,Moss,Fissidens bryoides var. bryoides
Ciliata mustela,Fish,Five-bearded Rockling
Akebia quinata,Angiosperm,Five-leaf akebia
Axylia putris,Moth,Flame
Xanthorhoe designata,Moth,Flame Carpet
Ochropleura plecta,Moth,Flame Shoulder
Neckera complanata,Moss,Flat Neckera
Littorina fabalis,Sea snail,Flat Periwinkle
Littorina obtusata,Snail,Flat Periwinkle
Steromphala umbilicalis,Sea snail,Flat Top Shell
Blysmus compressus,Angiosperm,Flat-sedge
Potamogeton friesii,Angiosperm,Flat-stalked Pondweed
Poa compressa,Angiosperm,Flattened Meadow-grass
Carex pulicaris,Angiosperm,Flea Sedge
Athyrium flexile,Fern,Flexile Lady Fern
Descurainia sophia,Angiosperm,Flixweed
Sparganium angustifolium,Angiosperm,Floating Bur-reed
Eleogiton fluitans,Angiosperm,Floating Club-rush
Hydrocotyle ranunculoides ,Angiosperm,Floating pennywort 
Ludwigia peploides,Angiosperm,Floating primrose willow
Glyceria fluitans,Angiosperm,Floating Sweet-grass
Crangonyx floridanus,Amphipod,Florida Crangonyx
Luperina testacea,Moth,Flounced Rustic
Platichthys flesus,Fish,Flounder
Ribes sanguineum,Angiosperm,Flowering Currant
Liocarcinus holsatus,Crab,Flying Crab
Asarum europaeum,Angiosperm,Foalfoot
Aethusa cynapium,Angiosperm,Fools Parsley
Apium nodiflorum,Angiosperm,Fools-water-cress
Bombus sylvestris,Bumblebee,Forest Cuckoo-bee
Myosotis,Angiosperm,Forget-me-nots
Asplenium septentrionale,Fern,Forked Spleenwort
Metzgeria furcata,Liverwort,Forked Veilwort
Anthophora furcata,Bumble bee,Fork-tailed Flower Bee
Formica lemani,Ant,Formica lemani
Sterna forsteri,Bird,Forsters Tern
Hygroamblystegium tenax,Moss,Fountain Feather-moss
Libellula quadrimaculata,Dragonfly,Four-spotted Chaser
Glyceria straita,Grass,Fowl manna grass
Macrothylacia rubi,Moth,Fox Moth
Pilosella aurantiaca,Angiosperm,Fox-and-cubs
Digitalis purpurea,Angiosperm,Foxglove
Eupithecia pulchellata,Moth,Foxglove Pug
Thamnobryum alopecurum,Moss,Fox-tail Feather-moss
Dicranum tauricum,Moss,Fragile Fork-moss
Agrimonia procera,Angiosperm,Fragrant Agrimony
Gymnadenia conopsea,Angiosperm,Fragrant Orchid
Leucophaeus pipixcan,Bird,Franklins Gull
Eupithecia intricata,Moth,Freyers Pug
Plenogemma phyllantha,Moss,Frizzled Pincushion
Coeloglossum viride,Angiosperm,Frog Orchid
Juncus ambiguus,Angiosperm,Frog Rush
Atriplex laciniata,Angiosperm,Frosted Orache
Gortyna flavago,Moth,Frosted Orange
Fucellia maritima,Fly,Fucellia maritima
Fucellia tergina,Fly,Fucellia tergina
Fulmarus glacialis,Bird,Fulmar
Saccorhiza polyschides,Alga (marine),Furbelows
Furcellaria lumbricalis,Alga (marine),Furcellaria lumbricalis
Mareca strepera,Bird,Gadwall
Galathea squamifera,Crab,Galathea squamifera
Gammarus zaddachi,Shrimp,Gammarus zaddachi
Morus bassanus,Bird,Gannet
Bombus hortorum,Bumblebee,Garden Bumblebee
Xanthorhoe fluctuata,Moth,Garden Carpet
Euxoa nigricans,Moth,Garden Dart
Muscari armeniacum,Angiosperm,Garden Grape-hyacinth
Alchemilla mollis,Angiosperm,Garden Ladys-mantle
Lupinus polyphyllus,Angiosperm,Garden Lupin
Petroselinum crispum,Angiosperm,Garden Parsley
Ligustrum ovalifolium,Angiosperm,Garden Privet
Polygonatum multiflorum x odoratum = P. x hybridum,Angiosperm,Garden Solomons-seal
Ornithogalum umbellatum,Angiosperm,Garden Star-of-Bethlehem
Erodium manescavi,Angiosperm,Garden storks-bill
Fragaria ananassa,Angiosperm,Garden Strawberry
Thymus vulgaris,Angiosperm,Garden Thyme
Arctia caja,Moth,Garden Tiger
Sylvia borin,Bird,Garden Warbler
Spatula querquedula,Bird,Garganey
Alliaria petiolata,Angiosperm,Garlic Mustard
Oxychilus (Oxychilus) alliarius,Snail,Garlic Snail
Gelidiu,Alga (marine),Gelidiu
Gentiana,Angiosperm,Gentians
Geoglossum cookeanum,Fungus,Geoglossum cookeanum
Geomyza apicalis,Fly,Geomyza apicalis
Geophilus flavus,Centipede,Geophilus flavus
Geophilus insculptus,Centipede,Geophilus insculptus
Geophilus truncorum,Centipede,Geophilus truncorum
Uromyces geranii,Fungus,Geranium Rust
Vespula germanica,Wasp,German Wasp
Veronica chamaedrys,Angiosperm,Germander Speedwell
Gerris (Gerris) thoracicus,True bug,Gerris (Gerris) thoracicus
Hepialus humuli,Moth,Ghost Moth
Selenochlamys ysbryda,Slug,Ghost slug
Campanula latifolia,Angiosperm,Giant Bellflower
Rubus armeniacus,Angiosperm,Giant Blackberry
Festuca gigantea,Angiosperm,Giant Fescue
Setaria faberi,Angiosperm,Giant foxtail
Heracleum mantegazzianum,Angiosperm,Giant Hogweed
Fallopia sachalinensis,Angiosperm,Giant Knotweed
Meripilus giganteus,Fungus,Giant Polypore
Langermannia gigantea,Fungus,Giant Puffball
Ambrosia trifida,Angiosperm,Giant ragweed
Ginkgo biloba,Tree,Ginkgo
Hygromia (Hygromia) cinctella,Snail,Girdled Snail
Erophila glabrescens,Angiosperm,Glabrous Whitlowgrass
Rosa caesia subsp. vosagiaca,Angiosperm,Glaucous Dog-rose
Larus hyperboreus,Bird,Glaucous Gull
Alchemilla glaucescens,Angiosperm,Glaucous Ladys-mantle
Poa glauca,Angiosperm,Glaucous Meadow-grass
Carex flacca,Angiosperm,Glaucous Sedge
Papestra biren,Moth,Glaucous Shears
Larus glaucescens,Bird,Glaucous-winged Gull
Coprinellus micaceus,Fungus,Glistening Inkcap
Trollius europaeus,Angiosperm,Globeflower
Scilla forbesii,Angiosperm,Glory-of-the-snow
Plegadis falcinellus,Bird,Glossy Ibis
Salix caprea,Tree,Goat Willow
Tragopogon pratensis,Angiosperm,Goats-beard
Cantharellula cyathiformis,Fungus,Goblet
Autographa bractea,Moth,Gold Spangle
Plusia festucae,Moth,Gold Spot
Phymatopus hecta,Moth,Gold Swift
Regulus regulus,Bird,Goldcrest
Chaerophyllum aureum,Angiosperm,Golden Chervil
Rumex maritimus,Angiosperm,Golden Dock
Aquila chrysaetos,Bird,Golden Eagle
Campylium chrysophyllum,Moss,Golden Feather-moss
Oriolus oriolus,Bird,Golden Oriole
Chrysolophus pictus,Bird,Golden Pheasant
Pluvialis apricaria,Bird,Golden Plover
Leptobryum pyriforme,Moss,Golden Thread-moss
Bucephala clangula,Bird,Goldeneye
Cordulegaster boltonii,Dragonfly,Golden-ringed Dragonfly
Solidago virgaurea,Angiosperm,Goldenrod
Solidago virgaurea x canadensis = S. x niederederi,Angiosperm,Goldenrod
Eupithecia virgaureata,Moth,Golden-rod Pug
Inula crithmoides,Angiosperm,Golden-samphire
Carduelis carduelis,Bird,Goldfinch
Ranunculus auricomus,Angiosperm,Goldilocks Buttercup
Gonatium rubens,Worm,Gonatium rubens
Gongylidiellum vivum,Spider,Gongylidiellum vivum
Gongylidium rufipes,Spider,Gongylidium rufipes
Goniodoris nodosa,Sea slug,Goniodoris nodosa
Nomada goodeniana,Solitary bee,Goodens Nomad Bee
Chenopodium bonus-henricus,Angiosperm,Good-King-Henry
Mergus merganser,Bird,Goosander
Ribes uva-crispa,Angiosperm,Gooseberry
Ulex europaeus,Angiosperm,Gorse
Piezodorus lituratus,True bug,Gorse Shieldbug
Accipiter gentilis,Bird,Goshawk
Naenia typica,Moth,Gothic
Muscari botryoides,Angiosperm,Grape hyacinth
Perizoma albulata,Moth,Grass Rivulet
Locustella naevia,Bird,Grasshopper Warbler
Solidago graminifolia,Angiosperm,Grass-leaved goldenrod
Atriplex littoralis,Angiosperm,Grass-leaved Orache
Parnassia palustris,Angiosperm,Grass-of-Parnassus
Potamogeton compressus,Angiosperm,Grass-wrack Pondweed
Hipparchia semele,Butterfly,Grayling
Thymallus thymallus,Fish,Grayling
Aneura pinguis,Liverwort,Greasewort
Pinguinus impennis,Bird,Great Auk
Calystegia sepium subsp. sepium,Angiosperm,Great Bindweed
Larus marinus,Bird,Great Black-backed Gull
Ichthyaetus ichthyaetus,Bird,Great Black-headed Gull
Eurois occulta,Moth,Great Brocade
Sanguisorba officinalis,Angiosperm,Great Burnet
Otis tarda,Bird,Great Bustard
Podiceps cristatus,Bird,Great Crested Grebe
Triturus cristatus,Amphibian,Great Crested Newt
Dytiscus marginalis,Beetle,Great Diving Beetle
Cladium mariscus,Angiosperm,Great Fen-sedge
Lanius excubitor,Bird,Great Grey Shrike
Syntrichia ruralis,Moss,Great Hairy Screw-moss
Equisetum telmateia,Horsetail,Great Horsetail
Calidris tenuirostris,Bird,Great Knot
Lactuca virosa,Angiosperm,Great Lettuce
Verbascum thapsus,Angiosperm,Great Mullein
Gavia immer,Bird,Great Northern Diver
Lymnaea stagnalis,Snail,Great Pond Snail
Acrocephalus arundinaceus,Bird,Great Reed Warbler
Conocephalum conicum,Liverwort,Great Scented Liverwort
Ardenna gravis,Bird,Great Shearwater
Stercorarius skua,Bird,Great Skua
Gallinago media,Bird,Great Snipe
Hyas araneus,Crab,Great Spider Crab
Clamator glandarius,Bird,Great Spotted Cuckoo
Dendrocopos major,Bird,Great Spotted Woodpecker
Drosera longifolia,Angiosperm,Great Sundew
Parus major,Bird,Great Tit
Ardea alba,Bird,Great White Egret
Epilobium hirsutum,Angiosperm,Great Willowherb
Luzula sylvatica,Angiosperm,Great Wood-rush
Bombus distinguendus,Bumblebee,Great Yellow Bumblebee
Rorippa amphibia,Angiosperm,Great Yellow-cress
Lotus pedunculatus,Angiosperm,Greater Birds-foot-trefoil
Utricularia vulgaris,Angiosperm,Greater Bladderwort
Orobanche rapum-genistae,Angiosperm,Greater Broomrape
Arctium lappa,Angiosperm,Greater Burdock
Platanthera chlorantha,Angiosperm,Greater Butterfly-orchid
Chelidonium majus,Angiosperm,Greater Celandine
Stellaria neglecta,Angiosperm,Greater Chickweed
Plagiochila asplenioides,Liverwort,Greater Featherwort
Centaurea scabiosa,Angiosperm,Greater Knapweed
Syngnathus acus,Fish,Greater Pipefish
Plantago major,Angiosperm,Greater Plantain
Carex riparia,Angiosperm,Greater Pond-sedge
Briza maxima,Grass,Greater Quaking-grass
Charadrius leschenaultii,Bird,Greater Sand Plover
Spergularia media,Angiosperm,Greater Sea-spurrey
Galanthus elwesii,Angiosperm,Greater Snowdrop
Ranunculus lingua,Angiosperm,Greater Spearwort
Stellaria holostea,Angiosperm,Greater Stitchwort
Carex paniculata,Angiosperm,Greater Tussock-sedge
Fontinalis antipyretica,Moss,Greater Water-moss
Sium latifolium,Angiosperm,Greater Water-parsnip
Tringa melanoleuca,Bird,Greater Yellowlegs
Rhinanthus angustifolius,Angiosperm,Greater Yellow-rattle
Pentaglottis sempervirens,Angiosperm,Green Alkanet
Anaplectoides prasina,Moth,Green Arches
Colostygia pectinataria,Moth,Green Carpet
Veronica agrestis,Angiosperm,Green Field-speedwell
Scrophularia umbrosa,Angiosperm,Green Figwort
Callophrys rubi,Butterfly,Green Hairstreak
Helleborus viridis,Angiosperm,Green Hellebore
Butorides virescens,Bird,Green Heron
Cynoglossum germanicum,Angiosperm,Green Hounds-tongue
Pasiphila rectangulata,Moth,Green Pug
Tringa ochropus,Bird,Green Sandpiper
Psammechinus miliaris,Sea urchin,Green Sea Urchin
Carcinus maenas,Crab,Green Shore Crab
Pseudoips prasinana,Moth,Green Silver-lines
Asplenium trichomanes-ramosum,Fern,Green Spleenwort
Phylloscopus nitidus,Bird,Green Warbler
Picus viridis,Bird,Green Woodpecker
Zygodon viridissimus,Moss,Green Yoke-moss
Allophyes oxyacanthae,Moth,Green-brindled Crescent
Chloris chloris,Bird,Greenfinch
Epipactis phyllanthes,Angiosperm,Green-flowered Helleborine
Phylloscopus trochiloides,Bird,Greenish Warbler
Eulalia viridis,Worm,Greenleaf Worm
Carex binervis,Angiosperm,Green-ribbed Sedge
Tringa nebularia,Bird,Greenshank
Pieris napi,Butterfly,Green-veined White
Orchis morio,Angiosperm,Green-winged Orchid
Anas carolinensis,Bird,Green-winged Teal
Monostroma grevillei,Alga (marine),Grevilles seaweed
Antitype chi,Moth,Grey Chi
Schoenoplectus tabernaemontani,Angiosperm,Grey Club-rush
Acronicta psi,Moth,Grey Dagger
Veronica polita,Angiosperm,Grey Field-speedwell
Eutrigla gurnardus,Fish,Grey Gurnard
Ardea cinerea,Bird,Grey Heron
Perdix perdix,Bird,Grey Partridge
Phalaropus fulicarius,Bird,Grey Phalarope
Thera obeliscata,Moth,Grey Pine Carpet
Pluvialis squatarola,Bird,Grey Plover
Eupithecia subfuscata,Moth,Grey Pug
Halichoerus grypus,Mammal,Grey seal
Carex divulsa,Angiosperm,Grey Sedge
Sciurus carolinensis,Mammal,Grey squirrel
Steromphala cineraria,Sea snail,Grey Top Shell
Motacilla cinerea,Bird,Grey Wagtail
Salix cinerea,Tree,Grey Willow
Catharus minimus,Bird,Grey-cheeked Thrush
Grimmia pulvinata,Moss,Grey-cushioned Grimmia
Anser anser,Bird,Greylag Goose
Tringa brevipes,Bird,Grey-tailed Tattler
Grifola frondosa,Fungus,Grifola frondosa
Amanita vaginata,Fungus,Grisette
Aegopodium podagraria,Angiosperm,Ground Elder
Glechoma hederacea,Angiosperm,Ground Ivy
Senecio vulgaris,Angiosperm,Groundsel
Viburnum opulus,Angiosperm,Guelder-rose
Rangia cuneata,Clam,Gulf wedge clam
Gelochelidon nilotica,Bird,Gull-billed Tern
Enteromorpha intestinalis,Alga (marine),Gutweed
Ulva intestinalis,Alga (marine),Gutweed
Enteromorpha prolifera,Alga (marine),Gutweed_proliferous
Andrena bicolor,Solitary bee,Gwynnes Mining Bee
Gymnopilus penetrans,Fungus,Gymnopilus penetrans
Gymnopilus spectabilis,Fungus,Gymnopilus spectabilis
Bombus bohemicus,Bumblebee,Gypsy Cuckoo-bee
Lycopus europaeus,Angiosperm,Gypsywort
Falco rusticolus,Bird,Gyr Falcon
Gyrinus caspius,Beetle,Gyrinus caspius
Gyrinus substriatus,Beetle,Gyrinus substriatus
Polytrichum commune,Moss,Hair Mosses
Carex capillaris,Angiosperm,Hair Sedge
Potamogeton trichoides,Angiosperm,Hairlike Pondweed
Calystegia pulchra,Angiosperm,Hairy Bindweed
Cardamine hirsuta,Angiosperm,Hairy Bitter-cress
Rubus radula,Angiosperm,Hairy Bramble
Ranunculus sardous,Angiosperm,Hairy Buttercup
Stereum hirsutum,Fungus,Hairy Curtain Crust
Brachytron pratense,Dragonfly,Hairy Dragonfly
Alchemilla filicaulis,Angiosperm,Hairy Ladys-mantle
Arabis hirsuta,Angiosperm,Hairy Rock-cress
Carex hirta,Angiosperm,Hairy Sedge
Dolycoris baccarum,True bug,Hairy Shieldbug
Trochulus hispidus,Sea snail,Hairy Snail
Exomias pellucidus,Worm,Hairy Spider Weevil
Hypericum hirsutum,Angiosperm,Hairy St Johns-wort
Sedum villosum,Angiosperm,Hairy Stonecrop
Vicia hirsuta,Angiosperm,Hairy Tare
Viola hirta,Angiosperm,Hairy Violet
Erophila majuscula,Angiosperm,Hairy Whitlowgrass
Luzula pilosa,Angiosperm,Hairy Wood-rush
Rosa caesia,Angiosperm,Hairy_Glaucous Dog Rose
Bromopsis ramosa,Angiosperm,Hairy-brome
Haliplus confinis,Beetle,Haliplus confinis
Haliplus fulvus,Beetle,Haliplus fulvus
Haliplus immaculatus,Beetle,Haliplus immaculatus
Haliplus lineatocollis,Beetle,Haliplus lineatocollis
Haliplus lineolatus,Beetle,Haliplus lineolatus
Haliplus sibiricus,Beetle,Haliplus sibiricus
Halurus flosculosus,Alga (marine),Halurus flosculosus
Haplophthalmus mengii,Isopod,Haplophthalmus mengii
Haplopilus rutilans,Fungus,Haplopilus rutilans
Phoca vitulina,Mammal,Harbour seal
Juncus inflexus,Angiosperm,Hard Rush
Polystichum aculeatum,Fern,Hard Shield-fern
Blechnum spicant,Fern,Hard-fern
Parapholis strigosa,Angiosperm,Hard-grass
Campanula rotundifolia,Angiosperm,Harebell
Trifolium arvense,Angiosperm,Hares-foot Clover
Carex lachenalii,Angiosperm,Hares-foot Sedge
Eriophorum vaginatum,Angiosperm,Hares-tail Cottongrass
Histrionicus histrionicus,Bird,Harlequin Duck
Harmonia axyridis,Ladybird,Harlequin ladybird
Harpacticus chelifer,Beetle,Harpacticus chelifer
Harpalus affinis,Beetle,Harpalus affinis
Harpalus rubripes,Beetle,Harpalus rubripes
Rosa tomentosa,Angiosperm,Harsh Downy-rose
Phyllitis scolopendrium,Fern,Harts Tongue
Plagiomnium undulatum,Moss,Harts-tongue Thyme-moss
Haustorius arenarius,Copepod,Haustorius arenarius
Coccothraustes coccothraustes,Bird,Hawfinch
Surnia ulula,Bird,Hawk Owl
Hieracium vulgatum,Angiosperm,Hawkweed_sp_ vulgatum
Celaena haworthii,Moth,Haworths Minor
Crataegus monogyna,Tree,Hawthorn
Acanthosoma haemorrhoidale,True bug,Hawthorn Shieldbug
Dryopteris aemula,Fern,Hay-scented Buckler-fern
Corylus avellana,Tree,Hazel
Agrotis clavis,Moth,Heart and Club
Agrotis exclamationis,Moth,Heart and Dart
Galium saxatile,Angiosperm,Heath Bedstraw
Bombus jonellus,Bumblebee,Heath Bumblebee
Gnaphalium sylvaticum,Angiosperm,Heath Cudweed
Viola canina,Angiosperm,Heath Dog-violet
Senecio sylvaticus,Angiosperm,Heath Groundsel
Polygala serpyllifolia,Angiosperm,Heath Milkwort
Sagina subulata,Angiosperm,Heath Pearlwort
Xestia agathina,Moth,Heath Rustic
Veronica officinalis,Angiosperm,Heath Speedwell
Dactylorhiza maculata,Angiosperm,Heath Spotted Orchid
Campylopus introflexus,Moss,Heath Star Moss
Luzula multiflora,Angiosperm,Heath Wood-rush
Calluna vulgaris,Angiosperm,Heather
Chilocorus 2-pustulatus,Ladybird,Heather ladybird
Danthonia decumbens,Angiosperm,Heath-grass
Juncus squarrosus,Angiosperm,Heath-rush
Hebecnema umbratica,Shrimp,Hebecnema umbratica
Hebecnema vespertina,Moth,Hebecnema vespertina
Orthosia gothica,Moth,Hebrew Character
Galium mollugo,Angiosperm,Hedge Bedstraw
Calystegia sepium,Angiosperm,Hedge Bindweed
Sisymbrium officinale,Angiosperm,Hedge Mustard
Tholera cespitis,Moth,Hedge Rustic
Stachys sylvatica,Angiosperm,Hedge Woundwort
Hydnum repandum,Fungus,Hedgehog Mushroom
Arion (Kobeltia) intermedius,Slug,Hedgehog Slug
Chara aculeolata,Alga (marine),Hedgehog Stonewort
Geranium pyrenaicum,Angiosperm,Hedgerow Cranes-bill
Helcomyza ustulata,Moth,Helcomyza ustulata
Helina impuncta,Fly,Helina impuncta
Helina quadrum,Fly,Helina quadrum
Helina setiventris,Fly,Helina setiventris
Numida meleagris,Bird,Helmeted Guineafowl
Helophorus aequalis,Beetle,Helophorus aequalis
Helophorus brevipalpis,Beetle,Helophorus brevipalpis
Helophorus flavipes,Beetle,Helophorus flavipes
Helophorus grandis,Beetle,Helophorus grandis
Helophorus minutus,Beetle,Helophorus minutus
Helophorus obscurus,Beetle,Helophorus obscurus
Helophorus porculus,Beetle,Helophorus porculus
Hemerobius humulinus,Lacewing,Hemerobius humulinus
Hemerobius stigma,Lacewing,Hemerobius stigma
Contarinia quinquenotata,Fly,Hemerocallis Gall Midge
Conium maculatum,Angiosperm,Hemlock
Oenanthe crocata,Angiosperm,Hemlock Water-dropwort
Eupatorium cannabinum,Angiosperm,Hemp-agrimony
Circus cyaneus,Bird,Hen Harrier
Hyoscyamus niger,Angiosperm,Henbane
Lamium amplexicaule,Angiosperm,Henbit Dead-nettle
Heracleum sphondylium subsp. sphondylium,Angiosperm,Heracleum sphondylium subsp. sphondylium
Scoliopteryx libatrix,Moth,Herald
Paris quadrifolia,Angiosperm,Herb Paris
Geranium robertianum,Angiosperm,Herb-Robert
Pagurus bernhardus,Crab,Hermit Crab
Catharus guttatus,Bird,Hermit Thrush
Clupea harengus,Fish,Herring
Larus argentatus,Bird,Herring Gull
Hesperocorixa sahlbergi,True bug,Hesperocorixa sahlbergi
Heterocheila buccata,Beetle,Heterocheila buccata
Hieracium reayense,Angiosperm,Hieracium reayense
Coccinella hieroglyphica,Ladybird,Hieroglyphic ladybird
Vaccinium corymbosum (and hybrids) ,Angiosperm,Highbush blueberry
Gnaphalium norvegicum,Angiosperm,Highland Cudweed
Saxifraga rivularis,Angiosperm,Highland Saxifrage
Impatiens glandulifera,Angiosperm,Himalayan Balsam
Cotoneaster simonsii,Angiosperm,Himalayan Cotoneaster
Hincksia granulosa,Alga (marine),Hincksia granulosa
Potentilla argentea,Angiosperm,Hoary Cinquefoil
Lepidium draba,Angiosperm,Hoary Cress
Plantago media,Angiosperm,Hoary Plantain
Senecio erucifolius,Angiosperm,Hoary Ragwort
Draba incana,Angiosperm,Hoary Whitlowgrass
Epilobium parviflorum,Angiosperm,Hoary Willowherb
Falco subbuteo,Bird,Hobby
Heracleum sphondylium,Angiosperm,Hogweed
Ilex aquifolium,Tree,Holly
Celastrina argiolus,Butterfly,Holly Blue
Polystichum lonchitis,Fern,Holly-fern
Quercus ilex,Tree,Holm Oak
Hierochloe odorata,Angiosperm,Holy-grass
Lunaria annua,Angiosperm,Honesty
Armillaria mellea,Fungus,Honey Fungus
Armillaria mellea s.l.,Fungus,Honey fungus
Pernis apivorus,Bird,Honey-buzzard
Sabellaria alveolata,Worm,Honeycomb Worm
Lonicera periclymenum,Angiosperm,Honeysuckle
Corvus cornix,Bird,Hooded Crow
Corvus cornix cornix,Bird,Hooded Crow
Lophodytes cucullatus,Bird,Hooded Merganser
Setophaga citrina,Bird,Hooded Warbler
Agonus cataphractus,Fish,Hook-nose
Upupa epops,Bird,Hoopoe
Trifolium campestre,Angiosperm,Hop Trefoil
Craterellus cornucopioides,Fungus,Horn of plenty
Carpinus betulus,Tree,Hornbeam
Zannichellia palustris,Angiosperm,Horned Pondweed
Fucus ceranoides,Alga (marine),Horned Wrack
Pseudocrossidium hornschuchianum,Moss,Hornschuchs Beard-moss
Flustra foliacea,Bryozoa,Hornwrack
Sphaerium corneum,Clam,Horny Orb Mussel
Aesculus hippocastanum,Tree,Horse Chestnut
Agaricus arvensis,Fungus,Horse mushroom
Armoracia rusticana,Angiosperm,Horse-radish
Equisetum,Horsetail,Horsetails
Cynoglossum officinale,Angiosperm,Hounds-tongue
Delichon urbicum,Bird,House Martin
Mus musculus,Mammal,House mouse
Passer domesticus,Bird,House Sparrow
Eratigena saeva,Spider,House Spider
Sempervivum tectorum,Angiosperm,House-leek
Limosa haemastica,Bird,Hudsonian Godwit
Numenius hudsonicus,Bird,Hudsonian Whimbrel
Phylloscopus humei,Bird,Humes Warbler
fuchsia magellanica ,True bug,hummingbird fuchsia 
Macroglossum stellatarum,Moth,Hummingbird Hawk-moth
Megaptera novaeangliae,Mammal,Humpback whale
Hornungia petraea,Angiosperm,Hutchinsia
Hyaloperonospora parasitica s. lat.,Fungus,Hyaloperonospora parasitica s. lat.
Hyas coarctatus,Crab,Hyas coarctatus
Geum rivale x urbanum = G. x intermedium,Angiosperm,Hybrid Avens
Betula pendula x pubescens = B. x aurata,Tree,Hybrid Birch
